egg	with
knife	with
desk	on
bathtubbasin	in
lettuce	with
spatula	with
bed	on
basketball	with
pencil	with
plate	on
watch	with
saltshaker	with
mug	in
floorlamp	on
handtowel	on
sidetable	on
safe	in
vase	in
statue	on
bread	with
keychain	with
soapbottle	in
microwave	in
cloth	on
handtowelholder	on
spoon	on
garbagecan	in
box	in
candle	with
coffeetable	on
potato	with
kettle	in
cellphone	with
drawer	in
winebottle	in
book	with
soapbar	with
cup	in
shelf	on
apple	with
countertop	on
wateringcan	in
baseballbat	with
tissuebox	in
tomato	with
toiletpaper	with
cd	with
laptop	with
cabinet	in
dishsponge	with
creditcard	with
remotecontrol	with
pan	in
plunger	with
armchair	on
glassbottle	in
alarmclock	with
tennisracket	with
toiletpaperhanger	on
peppershaker	with
stoveburner	on
spraybottle	in
newspaper	with
pot	in
fridge	in
desklamp	on
coffeemachine	in
pillow	on
sinkbasin	in
dresser	in
diningtable	on
butterknife	with
bowl	in
pen	with
fork	with
ottoman	on
cart	on
toilet	on
ladle	in
sofa	on
